episode,k,policy,frames,coverage,vendi_sel
2026-05-05-09-47-17-541156,2,uniform,160,0.20377495884895325,1.4780367612838745
2026-05-05-09-47-17-541156,2,motion_peaks,160,0.17623475193977356,1.2054682970046997
2026-05-05-09-47-17-541156,2,cheap_fps,160,0.1767253875732422,1.416893482208252
2026-05-05-09-47-17-541156,2,motion_gated_fps,160,0.16826984286308289,1.3975257873535156
2026-05-05-09-47-17-541156,4,uniform,160,0.1360030174255371,1.9243072271347046
2026-05-05-09-47-17-541156,4,motion_peaks,160,0.16351619362831116,1.4357919692993164
2026-05-05-09-47-17-541156,4,cheap_fps,160,0.15658915042877197,1.9971927404403687
2026-05-05-09-47-17-541156,4,motion_gated_fps,160,0.14873312413692474,1.8847874402999878
2026-05-05-09-47-17-541156,8,uniform,160,0.1038990169763565,2.090791702270508
2026-05-05-09-47-17-541156,8,motion_peaks,160,0.1511842906475067,1.6973809003829956
2026-05-05-09-47-17-541156,8,cheap_fps,160,0.12291949987411499,2.4132754802703857
2026-05-05-09-47-17-541156,8,motion_gated_fps,160,0.12919162213802338,2.2624316215515137
2026-05-05-09-47-17-541156,16,uniform,160,0.08366578817367554,2.565652847290039
2026-05-05-09-47-17-541156,16,motion_peaks,160,0.1324915587902069,2.1905486583709717
2026-05-05-09-47-17-541156,16,cheap_fps,160,0.09708572924137115,2.6931614875793457
2026-05-05-09-47-17-541156,16,motion_gated_fps,160,0.09618378430604935,2.648179769515991
2026-05-05-09-47-17-541156,32,uniform,160,0.060605525970458984,2.8653929233551025
2026-05-05-09-47-17-541156,32,motion_peaks,160,0.10814590752124786,2.682298183441162
2026-05-05-09-47-17-541156,32,cheap_fps,160,0.06624367833137512,2.984973907470703
2026-05-05-09-47-17-541156,32,motion_gated_fps,160,0.06669005006551743,2.9632821083068848
2026-05-05-09-47-17-541156,64,uniform,160,0.03710033744573593,3.0067553520202637
2026-05-05-09-47-17-541156,64,motion_peaks,160,0.05587510019540787,3.183523654937744
2026-05-05-09-47-17-541156,64,cheap_fps,160,0.04086398705840111,3.1650235652923584
2026-05-05-09-47-17-541156,64,motion_gated_fps,160,0.04872675985097885,3.160698652267456
2026-05-05-09-47-17-541156,2,ORACLE_greedy,160,0.12329409271478653,1.3905085325241089
2026-05-05-09-47-17-541156,2,ORACLE_fps,160,0.1808285415172577,1.5299510955810547
2026-05-05-09-47-17-541156,4,ORACLE_greedy,160,0.10628235340118408,1.688380241394043
2026-05-05-09-47-17-541156,4,ORACLE_fps,160,0.16298730671405792,2.277045726776123
2026-05-05-09-47-17-541156,8,ORACLE_greedy,160,0.09067943692207336,1.9658032655715942
2026-05-05-09-47-17-541156,8,ORACLE_fps,160,0.13354893028736115,2.886167049407959
2026-05-05-09-47-17-541156,16,ORACLE_greedy,160,0.07270629703998566,2.2920186519622803
2026-05-05-09-47-17-541156,16,ORACLE_fps,160,0.09777088463306427,3.1727144718170166
2026-05-05-09-47-17-541156,32,ORACLE_greedy,160,0.05470702797174454,2.6477863788604736
2026-05-05-09-47-17-541156,32,ORACLE_fps,160,0.06398174911737442,3.322361469268799
2026-05-05-09-47-17-541156,64,ORACLE_greedy,160,0.03408890590071678,3.107194185256958
2026-05-05-09-47-17-541156,64,ORACLE_fps,160,0.03795173391699791,3.446089267730713
2026-04-24-05-55-53-873488,2,uniform,254,0.14974188804626465,1.2030936479568481
2026-04-24-05-55-53-873488,2,motion_peaks,254,0.47403454780578613,1.3584307432174683
2026-04-24-05-55-53-873488,2,cheap_fps,254,0.15149229764938354,1.7126977443695068
2026-04-24-05-55-53-873488,2,motion_gated_fps,254,0.1394014060497284,1.7263554334640503
2026-04-24-05-55-53-873488,4,uniform,254,0.10412533581256866,1.5706360340118408
2026-04-24-05-55-53-873488,4,motion_peaks,254,0.46355557441711426,2.0604171752929688
2026-04-24-05-55-53-873488,4,cheap_fps,254,0.11689167469739914,2.3106281757354736
2026-04-24-05-55-53-873488,4,motion_gated_fps,254,0.12719027698040009,2.4416685104370117
2026-04-24-05-55-53-873488,8,uniform,254,0.08084984868764877,1.814903974533081
2026-04-24-05-55-53-873488,8,motion_peaks,254,0.36890771985054016,2.56345272064209
2026-04-24-05-55-53-873488,8,cheap_fps,254,0.09296440333127975,3.158686876296997
2026-04-24-05-55-53-873488,8,motion_gated_fps,254,0.10527291893959045,2.9903483390808105
2026-04-24-05-55-53-873488,16,uniform,254,0.06187540292739868,2.2476770877838135
2026-04-24-05-55-53-873488,16,motion_peaks,254,0.20500245690345764,3.4176340103149414
2026-04-24-05-55-53-873488,16,cheap_fps,254,0.0657840222120285,3.4955291748046875
2026-04-24-05-55-53-873488,16,motion_gated_fps,254,0.062396664172410965,3.4082038402557373
2026-04-24-05-55-53-873488,32,uniform,254,0.04297662898898125,2.390925645828247
2026-04-24-05-55-53-873488,32,motion_peaks,254,0.07491379231214523,4.073792457580566
2026-04-24-05-55-53-873488,32,cheap_fps,254,0.0437251552939415,3.821892261505127
2026-04-24-05-55-53-873488,32,motion_gated_fps,254,0.04402792081236839,3.8233258724212646
2026-04-24-05-55-53-873488,64,uniform,254,0.027524447068572044,2.6454856395721436
2026-04-24-05-55-53-873488,64,motion_peaks,254,0.04225381836295128,3.672163963317871
2026-04-24-05-55-53-873488,64,cheap_fps,254,0.024755466729402542,3.6358425617218018
2026-04-24-05-55-53-873488,64,motion_gated_fps,254,0.02798399142920971,3.7705905437469482
2026-04-24-05-55-53-873488,2,ORACLE_greedy,254,0.10529481619596481,1.221674919128418
2026-04-24-05-55-53-873488,2,ORACLE_fps,254,0.15211504697799683,1.7618728876113892
