episode_hash,operator,lab,num_frames,task,task_description,scene,objects,is_deleted,embodiment,is_eval,eval_score,eval_success,zarr_processed_path,zarr_processing_error,zarr_mp4_path,license,segments,created_at,updated_at,rig_name,outcome
2026-03-27-23-03-58-240000,Baoyu,rl2,543.0,cup_on_saucer_failure_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-27-23-03-58-240000.zarr,,s3://rldb/processed_v3/eva/2026-03-27-23-03-58-240000.mp4,,,2026-03-27 23:03:58.240000+00:00,2026-07-31 21:45:36.954967+00:00,eva,failure
2026-03-04-21-53-56-519000,__zQ0kS-xjtwKdGt,rl2,706.0,cup_on_saucer_success,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-04-21-53-56-519000.zarr,,s3://rldb/processed_v3/eva/2026-03-04-21-53-56-519000.mp4,CC BY-SA 4.0,,2026-03-04 21:53:56.519000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-04-22-00-09-221000,__zQ0kS-xjtwKdGt,rl2,422.0,cup_on_saucer_success,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-04-22-00-09-221000.zarr,,s3://rldb/processed_v3/eva/2026-03-04-22-00-09-221000.mp4,CC BY-SA 4.0,,2026-03-04 22:00:09.221000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-04-22-42-18-867000,pB5ssSy__hBrm6wJ,rl2,529.0,cup_on_saucer_success,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""green saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-04-22-42-18-867000.zarr,,s3://rldb/processed_v3/eva/2026-03-04-22-42-18-867000.mp4,CC BY-SA 4.0,,2026-03-04 22:42:18.867000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-04-19-14-42-916000,EwCW-BuE_nA9dzbr,rl2,555.0,cup_on_saucer_success,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-04-19-14-42-916000.zarr,,s3://rldb/processed_v3/eva/2026-03-04-19-14-42-916000.mp4,CC BY-SA 4.0,,2026-03-04 19:14:42.916000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-04-19-19-59-780000,EwCW-BuE_nA9dzbr,rl2,585.0,cup_on_saucer_success,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-04-19-19-59-780000.zarr,,s3://rldb/processed_v3/eva/2026-03-04-19-19-59-780000.mp4,CC BY-SA 4.0,,2026-03-04 19:19:59.780000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-19-59-07-341000,Xinchen,rl2,756.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-19-59-07-341000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-19-59-07-341000.mp4,,,2026-03-28 19:59:07.341000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-18-48-29-581000,Xinchen,rl2,642.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-18-48-29-581000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-18-48-29-581000.mp4,,,2026-03-28 18:48:29.581000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-18-54-09-662000,Xinchen,rl2,763.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-18-54-09-662000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-18-54-09-662000.mp4,,,2026-03-28 18:54:09.662000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-26-52-265000,Xinchen,rl2,669.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-26-52-265000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-26-52-265000.mp4,,,2026-03-28 00:26:52.265000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
