frames,k,selector,seed,vendi,n_fail,combo_cov,op_cov,day_cov,bal_acc,auroc,degenerate
4,16,fps,0,3.7755093574523926,6,9,4,8,0.5134228187919463,0.4771201952410006,False
4,16,fps,1,3.750725746154785,6,10,5,8,0.5100671140939598,0.4866788692292048,False
4,16,fps,2,3.582296848297119,6,9,5,7,0.5201342281879194,0.5348789912548302,False
4,16,fps,3,3.7475814819335938,5,9,4,8,0.5167785234899329,0.5005084401057556,False
4,16,fps,4,3.779163122177124,6,9,5,6,0.5100671140939598,0.4148871262965223,False
4,16,fps,5,3.8256187438964844,6,10,5,8,0.5183038438071995,0.4925767744559691,False
4,16,fps,6,3.806823492050171,6,9,4,8,0.5100671140939598,0.4533251982916412,False
4,16,fps,7,3.6805763244628906,7,10,4,7,0.5100671140939598,0.4492576774455969,False
4,16,fps,8,3.5734829902648926,8,10,5,9,0.49827130364043115,0.4663412649989831,False
4,16,fps,9,3.779148578643799,5,10,4,7,0.5116941224323774,0.4490543014032947,False
4,16,fps,10,3.8312413692474365,6,8,5,8,0.5134228187919463,0.48606874110229814,False
4,16,fps,11,3.6181111335754395,8,9,5,6,0.5134228187919463,0.4238356721578198,False
4,16,fps,12,3.813669443130493,7,9,4,7,0.5100671140939598,0.454952206630059,False
4,16,fps,13,3.5032544136047363,9,10,5,6,0.5100671140939598,0.3679072605247102,False
4,16,fps,14,3.677128314971924,6,7,4,7,0.48983119788488916,0.48118771608704497,False
4,16,fps,15,3.8017685413360596,8,9,4,9,0.5100671140939598,0.3573317063249949,False
4,16,fps,16,3.6346378326416016,7,10,4,6,0.5134228187919463,0.5070164734594265,False
4,16,fps,17,3.857473850250244,7,9,4,7,0.5100671140939598,0.4563758389261745,False
4,16,fps,18,3.796720504760742,6,10,5,7,0.49827130364043115,0.4492576774455969,False
4,16,fps,19,3.7557919025421143,5,8,4,8,0.5167785234899329,0.4956274150905023,False
4,16,kmedoid,0,1.9639613628387451,1,9,5,6,0.5286760219646126,0.6943258084197681,False
4,16,kmedoid,1,1.9909621477127075,2,9,5,5,0.5658938377059182,0.6674801708358755,False
4,16,kmedoid,2,1.9440617561340332,1,10,5,5,0.49511897498474683,0.54220052877771,False
4,16,kmedoid,3,1.952430009841919,3,9,5,6,0.5677242220866382,0.6394142769981696,False
4,16,kmedoid,4,2.1645736694335938,2,10,5,5,0.5405735204392923,0.621923937360179,False
4,16,random,0,1.8975372314453125,3,8,5,4,0.6147040878584502,0.6855806386007729,False
4,16,random,1,1.971422791481018,4,9,5,6,0.6754118364856619,0.661378889566809,False
4,16,random,2,2.2294046878814697,4,8,4,5,0.5696562944885093,0.5696562944885093,False
4,16,random,3,1.9561909437179565,2,8,4,4,0.5320317266625991,0.5255236933089282,False
4,16,random,4,2.1567046642303467,1,7,5,4,0.44142769981696156,0.41936139922717103,False
4,16,random,5,1.8922778367996216,2,8,4,4,0.560911124669514,0.5962985560300995,False
4,16,random,6,1.8229831457138062,2,7,5,5,0.5960951799877974,0.5293878381126704,False
4,16,random,7,1.9949997663497925,3,7,4,4,0.4938987187309335,0.5456579214968477,False
4,16,random,8,1.9140708446502686,2,7,4,5,0.5690461663616027,0.5999593247915396,False
4,16,random,9,2.212207794189453,6,7,5,5,0.605043725849095,0.6750050844010576,False
4,16,random,10,1.8986269235610962,5,9,5,5,0.6316859873906854,0.6764287166971731,False
4,16,random,11,2.270758628845215,2,9,5,6,0.5927394752898109,0.6754118364856619,False
4,16,random,12,2.279866933822632,2,8,4,5,0.4566809029896278,0.46532438478747207,False
4,16,random,13,1.8389443159103394,3,7,5,3,0.4517998779743746,0.41732763880414886,False
4,16,random,14,1.824161171913147,3,8,5,5,0.5894854586129754,0.6493797030709783,False
4,16,random,15,2.155663251876831,2,8,5,4,0.4720357941834452,0.4632906243644499,False
4,16,random,16,1.9311320781707764,4,9,5,5,0.6368720764693919,0.6255847061216189,False
4,16,random,17,1.8964879512786865,3,8,5,4,0.7006304657311369,0.7923530608094367,False
4,16,random,18,2.0943737030029297,2,8,5,5,0.48688224527150703,0.49562741509050234,False
4,16,random,19,2.509704828262329,4,9,5,6,0.5189139719341062,0.6221273134024813,False
4,16,matched_random,0,1.9290270805358887,6,8,5,5,0.6269066503965832,0.6778523489932886,False
4,16,matched_random,1,1.966111660003662,6,8,5,5,0.6855806386007728,0.7122229001423631,False
4,16,matched_random,2,2.1313204765319824,6,9,5,6,0.6502948952613382,0.6882245271507017,False
4,16,matched_random,3,2.1416079998016357,5,8,5,5,0.520642668293675,0.5200325401667684,False
4,16,matched_random,4,1.9036272764205933,6,10,5,2,0.662294081757169,0.6918852959121415,False
4,16,matched_random,5,2.243044137954712,6,7,5,5,0.6585316249745781,0.6839536302623551,False
4,16,matched_random,6,1.958194613456726,6,9,4,5,0.5530811470408785,0.5749440715883668,False
4,16,matched_random,7,2.189258575439453,7,10,5,7,0.5798250966036201,0.6046369737644905,False
4,16,matched_random,8,2.3974573612213135,8,11,5,5,0.6100264388854992,0.6231441936139923,False
4,16,matched_random,9,2.190985918045044,5,9,5,7,0.5276591417531015,0.6050437258490949,False
4,16,matched_random,10,1.8555433750152588,6,9,5,3,0.6702257474069555,0.6076876143990237,False
4,16,matched_random,11,1.841559886932373,8,9,5,4,0.5764693919056336,0.6503965832824893,False
4,16,matched_random,12,1.955259919166565,7,8,4,4,0.7093756355501322,0.7793369941020948,False
4,16,matched_random,13,1.9670852422714233,9,8,5,4,0.615314215985357,0.6804962375432174,False
4,16,matched_random,14,2.2301650047302246,6,9,5,5,0.5810453528574334,0.6701240593858043,False
4,16,matched_random,15,2.048783779144287,8,8,5,5,0.5847061216188734,0.591824283099451,False
4,16,matched_random,16,2.0274016857147217,7,9,5,6,0.5125076266015863,0.5489119381736832,False
4,16,matched_random,17,1.8368828296661377,7,7,5,4,0.6958511287370348,0.732763880414887,False
4,16,matched_random,18,2.169766664505005,6,9,5,6,0.5846044335977222,0.6554809843400448,False
4,16,matched_random,19,1.9158340692520142,5,7,5,6,0.6719544437665244,0.777709985763677,False
4,32,fps,0,3.872326135635376,11,11,5,8,0.49105145413870244,0.4972544234289201,False
4,32,fps,1,3.8516180515289307,14,11,5,9,0.5246085011185682,0.5232865568436038,False
4,32,fps,2,3.7043139934539795,13,11,5,9,0.5551149074639008,0.6296522269676632,False
4,32,fps,3,3.8169567584991455,13,11,5,9,0.5297945901972747,0.5257270693512304,False
4,32,fps,4,3.825829029083252,14,11,5,8,0.5149481391092129,0.5098637380516575,False
4,32,fps,5,3.823399782180786,13,11,5,9,0.513117754728493,0.4866788692292048,False
